charge_event_id,SE_id,pev_id,pev_type,start_time,end_time_chg,end_time_prk,dest_type,soc_i,soc_f,ES_strategy,VS_strategy,Ext_strategy
100006231,100006231,100006231,bev300_575kW,15.222881000000001,_,36.77440100000001,_,0.72752,0.867872,ES100-A,NA,NA
100006638,100006638,100006638,bev300_575kW,15.310968000000003,_,30.700806999999998,_,0.602969,0.742519,ES100-A,NA,NA
100007087,100007087,100007087,bev300_575kW,45.259376,_,62.12044399999999,_,0.712137,0.793492,ES100-A,NA,NA
100008346,100008346,100008346,bev300_575kW,64.65723299999999,_,84.88392300000001,_,0.489511,0.646254,ES100-A,NA,NA
100009198,100009198,100009198,bev300_575kW,82.324309,_,101.41778099999999,_,0.481388,0.605485,ES100-A,NA,NA
100022084,100022084,100022084,bev250_350kW,42.98690099999999,_,59.46131299999999,_,0.801318,0.994181,ES100-A,NA,NA
100022888,100022888,100022888,bev250_350kW,94.240609,_,103.73415,_,0.810048,0.914125,ES100-A,NA,NA
100033579,100033579,100033579,bev150_150kW,18.045371999999986,_,30.005650000000003,_,0.804045,0.955449,ES100-A,NA,NA
100034746,100034746,100034746,bev150_150kW,66.058805,_,86.744516,_,0.854194,0.955033,ES100-A,NA,NA
100034755,100034755,100034755,bev150_150kW,69.88300899999999,_,86.255683,_,0.883025,0.985248,ES100-A,NA,NA
100034945,100034945,100034945,bev150_150kW,67.05489600000001,_,87.76394300000001,_,0.794379,0.968528,ES100-A,NA,NA
100035278,100035278,100035278,bev150_150kW,66.451469,_,79.222058,_,0.84851,0.998174,ES100-A,NA,NA
100036279,100036279,100036279,bev150_150kW,91.289087,_,102.96218800000003,_,0.854686,0.955831,ES100-A,NA,NA
100075507,100075507,100075507,phev_SUV,23.183750000000003,_,33.39322999999999,_,0.511019,0.924387,ES100-A,NA,NA
100075860,100075860,100075860,phev_SUV,18.97128699999999,_,31.25952799999999,_,0.272573,0.975346,ES100-A,NA,NA
100076502,100076502,100076502,phev_SUV,16.779282999999992,_,31.227447000000012,_,0.233025,0.604705,ES100-A,NA,NA
100076670,100076670,100076670,phev_SUV,15.370575000000002,_,32.40114299999999,_,0.450412,0.977395,ES100-A,NA,NA
100077233,100077233,100077233,phev_SUV,19.346633999999995,_,29.632432999999992,_,0.701563,0.987557,ES100-A,NA,NA
100078051,100078051,100078051,phev_SUV,45.583775,_,58.876667,_,0.231974,0.920431,ES100-A,NA,NA
100078284,100078284,100078284,phev_SUV,45.24495400000001,_,51.304587,_,0.13412,0.906025,ES100-A,NA,NA
100080539,100080539,100080539,phev_SUV,36.88967299999999,_,59.38727700000001,_,0.411184,0.911914,ES100-A,NA,NA
100083402,100083402,100083402,phev_SUV,61.14341400000001,_,82.11627899999999,_,0.319198,0.905621,ES100-A,NA,NA
100085057,100085057,100085057,phev_SUV,67.795657,_,79.84841499999999,_,0.719493,0.90812,ES100-A,NA,NA
100087386,100087386,100087386,phev_SUV,88.333666,_,102.18589100000003,_,0.440494,0.901689,ES100-A,NA,NA
100136789,100136789,100136789,phev50,23.726192999999995,_,28.775990000000007,_,0.750994,0.969662,ES100-A,NA,NA
100136856,100136856,100136856,phev50,18.325548999999995,_,31.879797999999994,_,0.435437,0.90199,ES100-A,NA,NA
100139966,100139966,100139966,phev50,91.72193099999998,_,103.137493,_,0.471352,0.984067,ES100-A,NA,NA
100140383,100140383,100140383,phev50,89.17695200000003,_,104.59445499999998,_,0.280677,0.949147,ES100-A,NA,NA
100140539,100140539,100140539,phev50,92.03318300000001,_,104.34219100000001,_,0.562804,0.911951,ES100-A,NA,NA
100165306,100165306,100165306,phev20,59.874191999999994,_,82.40715399999999,_,0.418657,0.956662,ES100-A,NA,NA
100165846,100165846,100165846,phev20,65.22011,_,85.03259800000001,_,0.41548,0.980248,ES100-A,NA,NA
100167177,100167177,100167177,phev20,95.35884399999998,_,116.35591899999997,_,0.062761,0.97025,ES100-A,NA,NA
100234664,100234664,100234664,bev300_575kW,21.99450999999999,_,44.393449000000004,_,0.640164,0.937475,ES100-A,NA,NA
100235067,100235067,100235067,bev300_575kW,17.429584000000006,_,32.13027500000001,_,0.725314,0.976902,ES100-A,NA,NA
100236095,100236095,100236095,bev300_575kW,20.95018300000001,_,30.12461300000001,_,0.510056,0.98416,ES100-A,NA,NA
100236971,100236971,100236971,bev300_575kW,17.73859200000001,_,32.82102499999999,_,0.571484,0.935704,ES100-A,NA,NA
100238136,100238136,100238136,bev300_575kW,22.573804999999993,_,31.392867999999993,_,0.461053,0.996547,ES100-A,NA,NA
100241440,100241440,100241440,bev300_575kW,40.56689800000001,_,54.720782000000014,_,0.410666,0.95297,ES100-A,NA,NA
100241567,100241567,100241567,bev300_575kW,45.11404999999999,_,54.019441,_,0.629785,0.995967,ES100-A,NA,NA
100242798,100242798,100242798,bev300_575kW,43.93006299999999,_,54.823409,_,0.406183,0.945044,ES100-A,NA,NA
100243187,100243187,100243187,bev300_575kW,44.773314,_,55.79112599999999,_,0.601169,0.939663,ES100-A,NA,NA
100244147,100244147,100244147,bev300_575kW,46.58187699999999,_,55.33972700000001,_,0.442735,0.900837,ES100-A,NA,NA
100244967,100244967,100244967,bev300_575kW,42.636165000000005,_,53.452967,_,0.50952,0.967031,ES100-A,NA,NA
100245932,100245932,100245932,bev300_575kW,43.33571699999999,_,62.09393299999999,_,0.543469,0.961014,ES100-A,NA,NA
100247152,100247152,100247152,bev300_575kW,43.58906099999999,_,61.804294999999996,_,0.626037,0.954515,ES100-A,NA,NA
100247418,100247418,100247418,bev300_575kW,41.18409600000001,_,63.98502199999999,_,0.695122,0.937704,ES100-A,NA,NA
100250453,100250453,100250453,bev300_575kW,69.557875,_,81.894191,_,0.736218,0.98675,ES100-A,NA,NA
100251592,100251592,100251592,bev300_575kW,65.697946,_,79.31581299999999,_,0.633158,0.963167,ES100-A,NA,NA
100253142,100253142,100253142,bev300_575kW,67.499496,_,83.22444999999999,_,0.739717,0.958721,ES100-A,NA,NA
100253416,100253416,100253416,bev300_575kW,69.500146,_,82.46929800000001,_,0.429337,0.923295,ES100-A,NA,NA
100253764,100253764,100253764,bev300_575kW,59.64421200000001,_,78.15631200000001,_,0.310872,0.920365,ES100-A,NA,NA
100254398,100254398,100254398,bev300_575kW,69.325038,_,76.87671800000001,_,0.61747,0.983044,ES100-A,NA,NA
100255203,100255203,100255203,bev300_575kW,68.114934,_,80.111975,_,0.628234,0.965519,ES100-A,NA,NA
100255625,100255625,100255625,bev300_575kW,67.813098,_,80.208766,_,0.74577,0.997818,ES100-A,NA,NA
100255986,100255986,100255986,bev300_575kW,66.248459,_,78.46530100000001,_,0.694192,0.941344,ES100-A,NA,NA
100257040,100257040,100257040,bev300_575kW,93.80373100000003,_,103.675163,_,0.413031,0.988387,ES100-A,NA,NA
100257381,100257381,100257381,bev300_575kW,88.44646399999999,_,110.44444199999998,_,0.590508,0.984265,ES100-A,NA,NA
100257615,100257615,100257615,bev300_575kW,91.876487,_,102.64441199999999,_,0.505073,0.905,ES100-A,NA,NA
100258430,100258430,100258430,bev300_575kW,89.73302699999999,_,105.45648499999999,_,0.675131,0.954149,ES100-A,NA,NA
100260352,100260352,100260352,bev300_575kW,86.772795,_,107.764677,_,0.655446,0.975669,ES100-A,NA,NA
100260407,100260407,100260407,bev300_575kW,86.228012,_,105.869845,_,0.514761,0.939139,ES100-A,NA,NA
100260788,100260788,100260788,bev300_575kW,89.348614,_,100.25975299999999,_,0.695998,0.993649,ES100-A,NA,NA
100263100,100263100,100263100,bev300_575kW,91.97501299999999,_,103.44037800000001,_,0.516645,0.99499,ES100-A,NA,NA
100343535,100343535,100343535,bev300_400kW,19.326222,_,31.030452999999994,_,0.412594,0.932581,ES100-A,NA,NA
100345127,100345127,100345127,bev300_400kW,41.823947000000004,_,59.69502800000001,_,0.460084,0.90296,ES100-A,NA,NA
100347201,100347201,100347201,bev300_400kW,91.88383299999998,_,100.32214900000002,_,0.5795,0.917279,ES100-A,NA,NA
100348195,100348195,100348195,bev300_400kW,81.484252,_,101.432053,_,0.704039,0.939366,ES100-A,NA,NA
100388651,100388651,100388651,bev250_350kW,22.530245000000008,_,30.517145999999997,_,0.689693,0.91332,ES100-A,NA,NA
100390842,100390842,100390842,bev250_350kW,19.815269,_,30.76029600000001,_,0.582782,0.920242,ES100-A,NA,NA
100391345,100391345,100391345,bev250_350kW,21.11213699999999,_,34.696765,_,0.652426,0.996566,ES100-A,NA,NA
100391503,100391503,100391503,bev250_350kW,20.378668000000005,_,37.58548099999999,_,0.791634,0.983088,ES100-A,NA,NA
100392398,100392398,100392398,bev250_350kW,42.241623000000004,_,59.805419,_,0.4262,0.90247,ES100-A,NA,NA
100392492,100392492,100392492,bev250_350kW,42.977599,_,54.50831299999999,_,0.785236,0.910563,ES100-A,NA,NA
100394702,100394702,100394702,bev250_350kW,42.15475799999999,_,53.46446800000001,_,0.740665,0.959139,ES100-A,NA,NA
